symbol_clean,classification,trades,unique_accounts,unique_symbols,total_pnl,avg_pnl,median_pnl,win_rate,total_volume_usd,avg_size_usd,avg_leverage,total_fee
CAKE,Fear,41,1,1,594.282727,14.494700658536585,0.0,21.951219512195124,20620.48,502.93853658536585,,5.34264
PYTH,Fear,88,3,1,593.672754,6.746281295454546,0.0,37.5,108608.18,1234.1838636363636,,27.011115
MEME,Greed,43,1,1,540.829202,12.577423302325581,0.0,27.906976744186046,24329.65,565.8058139534884,,8.515365
HPOS,Extreme Greed,96,1,1,524.8535760000001,5.467224750000001,0.0,39.58333333333333,40199.9,418.74895833333335,,8.024987
KSHIB,Extreme Greed,2,1,1,500.554796,250.277398,250.277398,50.0,2500.78,1250.39,,0.625193
@1,Greed,25,2,1,495.667559,19.82670236,0.0,44.0,3066.92,122.6768,,0.44088129
SUSHI,Greed,86,1,1,494.196189,5.746467313953488,0.0,31.3953488372093,35614.4,414.1209302325582,,11.306401
XRP,Greed,375,5,1,484.65516,1.29241376,0.0,36.0,228138.12,608.36832,,67.544986
IMX,Extreme Greed,9,2,1,456.69075,50.74341666666666,7.84785,77.77777777777779,6870.56,763.3955555555556,,1.562054
@125,Greed,27,6,1,452.715904,16.767255703703704,0.0,33.33333333333333,5693.45,210.8685185185185,,1.4741702700000001
CAKE,Extreme Greed,17,2,1,428.564024,25.209648470588235,15.30188,70.58823529411765,18265.09,1074.4170588235295,,-0.051964000000000024
TNSR,Extreme Greed,27,1,1,422.54312000000004,15.649745185185187,0.52948,74.07407407407408,39781.57,1473.3914814814814,,3.854504
MORPHO,Fear,40,2,1,421.871013,10.546775325,4.130405,72.5,69483.86,1737.0965,,21.126048
DYDX,Greed,30,1,1,412.325778,13.7441926,0.6606945,53.333333333333336,29996.28,999.876,,8.158857
PIXEL,Extreme Greed,23,1,1,405.89459999999997,17.647591304347824,8.06008,69.56521739130434,34839.78,1514.773043478261,,-0.69679
@74,Greed,9,5,1,371.633249,41.29258322222222,10.214577,55.55555555555556,383.36,42.595555555555556,,0.413268
PEOPLE,Extreme Greed,2,1,1,360.646005,180.3230025,180.3230025,50.0,1360.49,680.245,,0.340123
PAXG,Fear,561,1,1,348.466232,0.6211519286987522,0.0,36.898395721925134,1484302.85,2645.8161319073083,,225.062272
